,precision,recall,f1-score,support
0,0.6307692307692307,0.6833333333333333,0.6559999999999999,60.0
1,0.2,0.09090909090909091,0.12500000000000003,33.0
2,0.21052631578947367,0.18604651162790697,0.19753086419753085,43.0
3,0.3626373626373626,0.375,0.3687150837988826,88.0
4,0.680628272251309,0.7386363636363636,0.7084468664850136,176.0
avg,0.5130036231335489,0.5375,0.5227810075903947,400.0
